cluster_number,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,Female,0,No,No,5.01315789473683,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,81.0486842105263,395.541447368421,1
1,Female,0,Yes,No,57.2727272727273,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),89.7927272727273,5024.60818181818,0
2,Male,0,Yes,No,30.3855421686747,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,77.5114457831325,2199.99277108434,0
3,Female,0,Yes,No,67.3947368421053,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),105.643421052632,7127.03026315789,0
4,Male,0,No,No,47.3018867924528,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,81.0311320754717,3647.13773584906,0
5,Female,0,Yes,Yes,50.2328767123287,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,23.8335616438356,1123.20068493151,0
6,Female,0,Yes,No,63.8888888888889,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),94.3936507936508,5970.3626984127,0
7,Female,0,Yes,No,71.3571428571428,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),112.566071428571,8015.55714285714,0
8,Female,0,Yes,No,38.8088235294118,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,78.7301470588235,2883.73823529412,0
9,Male,0,No,No,1.67346938775508,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,39.7983673469388,54.359591836735,0
10,Female,0,Yes,No,53.7878787878788,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),80.3689393939394,4149.81893939394,0
11,Female,0,No,No,21.235294117647,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,79.2257352941176,1593.70735294118,0
12,Male,0,No,No,22.8333333333333,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,31.7785714285715,600.240476190477,0
13,Male,0,Yes,No,66.4666666666667,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),97.9733333333333,6491.69333333333,0
14,Female,0,Yes,No,60.7115384615385,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,93.2528846153846,5610.43365384615,0
15,Male,0,No,No,19.5903614457831,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.5650602409639,1387.00602409639,0
